
"Jurisdiction,PatentType,Complexity,LegalAgentFeeUSD,FilingFeeUSD,DrawingFeeUSD,SearchFeeUSD,OfficeActionUSD,TranslationUSD,Maintenance20YrUSD"
"US,Utility,Simple,8000,400,300,1000,2500,0,7500"
"US,Utility,Moderate,12000,900,600,1500,3500,0,7500"
"US,Utility,Complex,20000,1500,1000,2500,4000,0,7500"
"US,Utility,Software/Biotech,22000,1800,1200,3000,5000,0,7500"
"US,Design,Simple,3500,250,300,800,2000,0,2000"
"US,Design,Moderate,4500,400,500,1200,2500,0,2000"
"US,Design,Complex,6000,700,800,1600,3000,0,2000"
"US,Plant,Simple,4000,360,300,1000,2000,0,2000"
"US,Plant,Complex,6000,720,500,1600,3000,0,2000"
"EU (EPO),Utility,Simple,10000,1500,400,1500,3000,2000,25000"
"EU (EPO),Utility,Moderate,15000,2500,800,2500,4000,3500,25000"
"EU (EPO),Utility,Complex,22000,3500,1200,4000,5000,5000,25000"
"EU (EPO),Utility,Software/Biotech,25000,4500,2000,5000,6000,6000,25000"
"EU (EPO),Design,Simple,5000,900,400,1200,2000,1500,8000"
"EU (EPO),Design,Moderate,8000,1200,700,1800,2500,2000,8000"
"EU (EPO),Design,Complex,12000,1800,1200,2400,3500,3000,8000"
"EU (EPO),Plant,Simple,8000,1600,500,1500,2000,2500,8000"
"EU (EPO),Plant,Complex,12000,3000,900,2200,3000,4000,8000"
"Singapore,Utility,Simple,4000,120,200,800,2000,0,5000"
"Singapore,Utility,Moderate,7000,200,400,1200,3000,0,5000"
"Singapore,Utility,Complex,12000,400,800,2000,3500,0,5000"
"Singapore,Utility,Software/Biotech,14000,600,1200,3000,4000,0,5000"
"Singapore,Design,Simple,2500,70,200,800,1200,0,2000"
"Singapore,Design,Moderate,3500,120,400,1200,1800,0,2000"
"Singapore,Design,Complex,5000,200,700,1800,2500,0,2000"
"Singapore,Plant,Simple,3000,100,200,800,1200,1500,2000"
"Singapore,Plant,Complex,5000,240,400,1600,2000,3000,2000"
