Section,Fee Code,CFR Section,Description,Standard Fee,Small Entity Fee,Micro Entity Fee
Patent application filing fees,1005/2005/3005,1.16(d),Provisional application filing fee,325.00,130.00,65.00
Patent application filing fees,1011/2011/3011,1.16(a),Basic filing fee - Utility (paper filing also requires non-electronic filing fee under 1.16(t)),350.00,140.00,70.00
Patent application filing fees,1012/2012/3012,1.16(b),Basic filing fee - Design,300.00,120.00,60.00
Patent application filing fees,1013/2013/3013,1.16(c),Basic filing fee - Plant,240.00,96.00,48.00
Patent application filing fees,1014/2014/3014,1.16(e),Basic filing fee - Reissue,350.00,140.00,70.00
Patent application filing fees,1017/2017/3017,1.16(b),Basic filing fee - Design CPA,300.00,120.00,60.00
Patent application filing fees,1019/2019/3019,1.16(e),Basic filing fee - Reissue (Design CPA),350.00,140.00,70.00
Patent application filing fees,1053/2053/3053,1.17(i)(1),Non-English translation,150.00,60.00,30.00
Patent application filing fees,1054/2054/3054,1.16(u),Non-DOCX filing surcharge,430.00,172.00,86.00
Patent application filing fees,1111/2111/3111,1.16(k),Utility search fee,770.00,308.00,154.00
Patent application filing fees,1113/2113/3113,1.16(m),Plant search fee,485.00,194.00,97.00
Patent application filing fees,1201/2201/3201,1.16(h),Each independent claim in excess of three,600.00,240.00,120.00
Patent application filing fees,1202/2202/3202,1.16(i),Each claim in excess of 20,200.00,80.00,40.00
Patent application filing fees,1205/2205/3205,1.16(i),Each reissue claim in excess of 20,200.00,80.00,40.00
Patent application filing fees,1311/2311/3311,1.16(o),Utility examination fee,880.00,352.00,176.00
Patent application filing fees,1509/2509/3509,1.18(b)(1),Hague design issue fee*** 1,300.00,520.00,260.00
Patent application filing fees,1511/2511/3511,1.18(a),Reissue issue fee 1,290.00,516.00,258.00
Patent application filing fees,4011,1.16(a),Basic filing fee - Utility (electronic filing for small entities),n/a,70.00,n/a
Patent search fees,1081/2081/3081,1.16(s),Utility application size fee -,450.00,180.00,90.00
Patent search fees,1082/2082/3082,1.16(s),Design application size fee -,450.00,180.00,90.00
Patent search fees,1083/2083/3083,1.16(s),Plant application size fee - for,450.00,180.00,90.00
Patent search fees,1084/2084/3084,1.16(s),Reissue application size fee -,450.00,180.00,90.00
Patent search fees,1085/2085/3085,1.16(s),Provisional application size fee -,450.00,180.00,90.00
Patent search fees,1090/2090/3090,1.16(t),Non-electronic filing fee —,400.00,200.00,200.00
Patent search fees,1112/2112/3112,1.16(l),Design search fee or Design CPA search fee,300.00,120.00,60.00
Patent search fees,1114/2114/3114,1.16(n),Reissue search fee or Reissue (Design CPA) search fee,770.00,308.00,154.00
Patent examination fees,1312/2312/3312,1.16(p),Design examination fee or Design CPA examination fee,700.00,280.00,140.00
Patent examination fees,1313/2313/3313,1.16(q),Plant examination fee,725.00,290.00,145.00
Patent examination fees,1314/2314/3314,1.16(r),Reissue examination fee or Reissue (Design CPA) examination fee,2550.00,1020.00,510.00
Patent issue and publication fees,1501/2501/3501,1.18(a),Utility issue fee,1290.00,516.00,258.00
Patent issue and publication fees,1502/2502/3502,1.18(b)(1),Design issue fee,1300.00,520.00,260.00
Patent issue and publication fees,1503/2503/3503,1.18(c),Plant issue fee,905.00,362.00,181.00
Patent extension of time fees,1251/2251/3251,1.17(a)(1),"Extension for response within first month, except provisional applications",235.00,94.00,47.00
Patent extension of time fees,1252/2252/3252,1.17(a)(2),"Extension for response within second month, except provisional applications",690.00,276.00,138.00
Patent extension of time fees,1261/2261/3261,1.17(u)(1),Extension for response within,50.00,20.00,10.00
Patent extension of time fees,1262/2262/3262,1.17(u)(2),Extension for response within,100.00,40.00,20.00
Patent extension of time fees,1263/2263/3263,1.17(u)(3),Extension for response within,200.00,80.00,40.00
Patent extension of time fees,1264/2264/3264,1.17(u)(4),Extension for response within,400.00,160.00,80.00
Patent extension of time fees,1265/2265/3265,1.17(u)(5),Extension for response within,800.00,320.00,160.00
Patent extension of time fees,1554/2554/3554,1.20(h),Surcharge - 3.5 year - late payment,540.00,216.00,108.00
Patent extension of time fees,1555/2555/3555,1.20(h),Surcharge - 7.5 year - late payment,540.00,216.00,108.00
Patent extension of time fees,1556/2556/3556,1.20(h),Surcharge - 11.5 year - late,540.00,216.00,108.00
Patent maintenance fees,1551/2551/3551,1.20(e),"For maintaining an original or any reissue patent, due at 3.5 years",2150.00,860.00,430.00
Patent maintenance fees,1552/2552/3552,1.20(f),"For maintaining an original or any reissue patent, due at 7.5 years",4040.00,1616.00,808.00
Patent maintenance fees,1553/2553/3553,1.20(g),"For maintaining an original or any reissue patent, due at 11.5 years",8280.00,3312.00,1656.00
Miscellaneous patent fees,1401/2401/3401,41.20(b)(1),Notice of appeal 905.00 362.00 181.00* n/a 41.20(b)(2)(i) Filing a brief in support of an appeal,0.00,0.00,0.00
Miscellaneous patent fees,1412/2412/3412,42.15(c)(1),Petition for a derivation proceeding,452.00,452.00,452.00
Miscellaneous patent fees,1418,42.15(e),Pro hac vice admission fee,269.00,n/a,n/a
Miscellaneous patent fees,1456/2456/3456,1.18(f),Request for reinstatement of term reduced,452.00,452.00,452.00
Miscellaneous patent fees,1466/2466/3466,1.17(g)(2)(i),First request for suspension of action,300.00,120.00,60.00
Miscellaneous patent fees,1467/2467/3467,1.17(g)(2)(ii),Subsequent request for suspension of action,450.00,180.00,90.00
Miscellaneous patent fees,1601/2601/3601,1.445(a)(1)(i)(A),Transmittal fee,285.00,114.00,57.00
Miscellaneous patent fees,1605/2605/3605,1.482(a)(1)(i),Preliminary examination fee - U.S. was the ISA,705.00,282.00,141.00
Miscellaneous patent fees,1614/2614/3614,1.492(d),Each independent claim in excess of three,600.00,240.00,120.00
Miscellaneous patent fees,1615/2615/3615,1.492(e),Each claim in excess of 20,200.00,80.00,40.00
Miscellaneous patent fees,1616/2616/3616,1.492(f),Multiple dependent claim,925.00,370.00,185.00
Miscellaneous patent fees,1631/2631/3631,1.492(a),Basic national stage fee 350.00 140.00 70.00 n/a 1.492(b)(1) National stage search fee - U.S. was the ISA or,0.00,0.00,0.00
Miscellaneous patent fees,1632/2632/3632,1.492(b)(4),National stage search fee - all other situations 770.00 308.00 154.00 n/a 1.492(c)(1) National stage examination fee - U.S. was the,0.00,0.00,0.00
Miscellaneous patent fees,1641/2641/3641,1.492(b)(2),National stage search fee - U.S. was the ISA,150.00,60.00,30.00
Miscellaneous patent fees,1703,Supplemental,fee (for each page over 30),18.00,18.00,18.00
Miscellaneous patent fees,1709,International,search (KIPO),825.00,825.00,825.00
